Student_ID,Z_Name,Animal_Type,Animal_Category,Zootopia_District,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Fur_Color,Paw_Size,Tail_Length_cm,Stress_Level
24,Sharla Sloth,Moose,Prey,,6.1,1.7,9.1,5.2,1.9,White,Extra Large,138,Moderate
25,Mayor Chipmunk,Rabbit,Prey,Savanna Central,5.0,2.0,7.1,1.3,8.6,Brown,Large,104,Low
26,Hooves Tiger,Leopard,Predator,Tundratown,9.7,1.3,,3.8,1.6,Brown,Medium,141,High
27,Kevin Chipmunk,Rhino,Prey,Downtown,6.8,3.9,9.8,0.9,2.6,White,Medium,66,Moderate
28,Judy Ocelot,Zebra,Prey,Rainforest District,6.4,0.1,8.0,3.0,6.5,White,Extra Large,147,Moderate
29,Doug Cheetah,Gazelle,Prey,Savanna Central,5.3,,9.5,1.4,6.7,Black,Small,78,Low
31,Pronk Skunk,Tiger,Predator,Downtown,6.2,2.9,6.8,3.8,4.3,Golden,Extra Large,103,Moderate
32,Kevin Squirrel,Fox,Predator,Sahara Square,5.5,3.3,6.6,1.1,7.5,Brown,Medium,4,Low
33,FruFru Rabbit,Panther,Predator,Tundratown,5.2,2.4,8.4,0.1,7.9,Brown,Large,62,Low
34,Bonnie Jackal,Hedgehog,Prey,,8.2,0.7,8.5,2.3,4.3,Striped,Large,49,High
35,Pronk Cougar,Pig,Prey,Sahara Square,,0.6,6.7,0.7,6.3,Grey,Small,62,High
36,Finnick Pig,Mouse,Prey,Savanna Central,9.1,2.2,7.6,1.2,3.9,White,Large,61,High
37,Lionheart Puma,Zebra,Prey,Downtown,5.5,3.6,9.5,3.4,2.0,Spotted,Medium,65,Low
38,Manchas Fox,Sloth,Prey,Downtown,8.6,3.6,9.4,1.9,0.5,Orange,Medium,95,High
39,Lionheart Armadillo,Lion,Predator,Rainforest District,8.2,,5.8,5.4,4.3,Black,Small,117,High
40,Koslov Mouse,Panther,Predator,Sahara Square,5.0,0.6,7.7,4.2,6.5,Brown,Small,69,Low
41,Nangi Otter,Wolf,Predator,Sahara Square,8.3,0.9,8.6,1.4,4.8,Striped,Small,139,High
42,Jerry Dingo,Otter,Predator,Sahara Square,8.2,3.4,8.3,2.3,1.8,White,Small,54,High
43,Bogo Lynx,Giraffe,Prey,Rainforest District,5.5,1.5,6.3,1.5,9.2,Black,Medium,32,Low
44,Chief Jackal,Moose,Prey,Savanna Central,9.5,2.5,9.0,1.5,1.5,Orange,Small,129,High
45,Paws Armadillo,Leopard,Predator,Tundratown,7.9,2.0,6.0,4.3,3.8,Spotted,Small,22,Moderate
46,Gideon Weasel,Leopard,Predator,Savanna Central,9.7,3.8,9.6,0.3,0.6,Golden,Large,54,High
47,Manchas Hopps,Rabbit,Prey,,5.1,3.7,7.1,5.8,2.3,Black,Medium,106,Low
48,Gazelle Shrew,Hamster,Prey,Savanna Central,9.3,1.3,5.8,3.3,4.3,Golden,Small,35,High
49,Whiskers Weasel,Lion,Predator,Downtown,9.7,2.8,7.9,0.3,3.3,Black,Small,72,High
50,Peter Hopps,Pig,Prey,Tundratown,9.4,3.0,8.5,2.2,0.9,Spotted,Large,68,High
51,Koslov Jackal,Panther,Predator,Savanna Central,6.8,1.2,9.0,4.9,2.1,Spotted,Extra Large,46,Moderate
52,Tail Elephant,Mouse,Prey,Downtown,9.0,2.6,8.5,3.1,0.8,Grey,Extra Large,14,High
53,Larry Hare,Sloth,Prey,Downtown,9.5,1.4,6.9,0.6,5.6,White,Medium,69,High
54,Bellwether Dog,Leopard,Predator,Rainforest District,7.3,2.2,6.4,3.5,4.6,Grey,Medium,6,Moderate
55,Bogo Hare,Leopard,Predator,Rainforest District,5.2,0.1,9.1,2.2,7.4,Golden,Extra Large,128,Low
56,Sharla Dingo,Sloth,Prey,Rainforest District,8.8,0.9,8.1,0.5,5.7,Orange,Large,106,High
58,Gazelle Ocelot,Wolf,Predator,Savanna Central,9.0,1.1,7.2,0.5,6.2,Spotted,Extra Large,82,High
59,Gareth Cheetah,Hamster,Prey,Savanna Central,5.1,3.9,9.2,4.0,1.8,White,Small,87,Low
60,Finnick Tiger,Panther,Predator,Downtown,5.8,1.0,7.7,4.3,5.2,Spotted,Extra Large,118,Low
61,Sparky Panther,Rhino,Prey,Rainforest District,8.3,1.1,9.8,3.5,1.3,Golden,Medium,102,High
62,,Leopard,Predator,Tundratown,7.1,,,4.5,4.6,Golden,Large,89,Moderate
63,Chief Bunny,Rabbit,Prey,Tundratown,5.1,0.5,5.2,0.2,13.0,Black,Small,100,High
64,Koslov Raccoon,Jaguar,Predator,Tundratown,7.4,0.4,7.5,2.8,5.9,Spotted,Extra Large,110,Moderate
65,Doug Hippo,Moose,Prey,Downtown,5.9,1.7,7.0,3.7,5.7,Striped,Extra Large,142,Low
67,Koslov Lion,Otter,Predator,,8.3,0.7,5.4,3.9,5.7,Grey,Large,52,High
68,Bonnie Otter,Cheetah,Predator,Rainforest District,9.7,2.3,6.9,3.3,1.8,,Small,139,High
69,Jerry Skunk,Fox,Predator,Tundratown,7.3,,,1.9,2.9,,Small,26,Moderate
70,Bellwether Hedgehog,Gazelle,Prey,Savanna Central,5.4,,,0.1,8.0,Golden,Medium,35,Low
72,Paws Hare,Elephant,Prey,Rainforest District,,3.2,6.4,1.0,4.7,Grey,Medium,33,High
73,Priscilla Sloth,Rhino,Prey,Meadowlands,8.8,3.2,10.0,0.8,1.2,White,Medium,147,High
74,Doug Moose,Rabbit,Prey,Sahara Square,6.7,3.7,9.3,1.8,2.5,,Extra Large,57,Moderate
75,Chief Skunk,Hippo,Prey,Savanna Central,8.8,3.0,5.5,5.4,1.3,,Medium,22,High
76,Manchas Sheep,Cheetah,Predator,Meadowlands,6.6,3.6,6.9,0.1,6.8,Golden,Extra Large,87,Moderate
77,Kevin Lion,Weasel,Predator,Tundratown,9.5,0.4,6.6,5.7,1.8,Brown,Extra Large,23,High
78,Whiskers Jackal,Giraffe,Prey,,8.2,1.8,6.5,2.0,5.5,Brown,Extra Large,18,High
79,Bonnie Gorilla,Weasel,Predator,,8.4,3.0,9.0,2.8,0.8,Golden,Small,96,High
80,Bucky Cougar,Rat,Prey,Sahara Square,5.3,2.2,7.2,5.3,4.0,White,Extra Large,81,Low
81,Clawhauser Puma,Sloth,Prey,Meadowlands,6.8,0.5,5.7,4.6,6.4,Orange,Large,74,High
82,Sharla Squirrel,Polar Bear,Predator,Meadowlands,5.4,2.8,5.4,4.9,5.5,Striped,Large,61,High
83,Flash Jackal,Pig,Prey,Tundratown,8.5,0.3,5.4,5.9,3.9,Black,Medium,71,High
84,Fabienne Hedgehog,Hyena,Predator,,9.1,3.8,9.9,0.9,0.3,Grey,Medium,114,High
85,Madge Skunk,Rat,Prey,Sahara Square,6.9,0.3,8.9,,4.5,Grey,Large,26,Moderate
86,Jerry Armadillo,Elephant,Prey,Rainforest District,5.6,2.0,5.1,2.8,8.5,Spotted,Large,143,High
87,Bellwether Rat,Polar Bear,Predator,Rainforest District,5.3,0.5,5.6,3.9,8.7,Golden,Large,116,High
88,Bonnie Elephant,Cheetah,Predator,,9.8,1.5,6.4,5.2,1.1,Brown,Large,85,High
89,Snout Yak,Panther,Predator,Savanna Central,6.1,3.9,5.1,5.8,3.1,Orange,Large,49,High
90,Fabienne Squirrel,Hedgehog,Prey,Savanna Central,5.4,2.2,9.8,3.1,3.5,Striped,Medium,22,Low
91,Bonnie Mouse,Wolf,Predator,Savanna Central,8.1,2.8,7.3,3.6,2.2,Orange,Medium,41,High
92,Fluffy Raccoon,Sloth,Prey,Tundratown,5.2,1.1,9.8,5.3,2.6,Golden,Extra Large,79,Low
93,Madge Mouse,Tiger,Predator,Rainforest District,7.3,2.5,6.4,1.1,6.7,Grey,Small,36,Moderate
94,Chief Puma,Rat,Prey,Downtown,7.9,0.3,9.9,5.8,0.1,Orange,Medium,18,Moderate
95,Duke Cat,Sloth,Prey,Savanna Central,8.5,,6.5,4.9,2.0,Black,Small,107,High
96,Jerry Dog,Wolf,Predator,Savanna Central,9.6,3.3,9.7,1.0,0.4,Grey,Medium,92,High
97,Sparky Raccoon,Zebra,Prey,Savanna Central,8.1,1.7,9.7,3.9,0.6,Spotted,Extra Large,133,High
98,Priscilla Wolf,Mouse,Prey,Downtown,9.9,0.6,8.0,2.1,3.4,Orange,Small,146,High
99,Whiskers Gorilla,Hedgehog,Prey,Downtown,9.8,,,0.7,0.9,Black,Small,77,High
101,Jerry Ocelot,Mouse,Prey,,10.0,2.2,8.8,2.8,0.2,Grey,Large,20,High
102,Tail Raccoon,Leopard,Predator,,7.3,0.5,9.8,3.6,2.8,Brown,Extra Large,127,Moderate
103,Agent Sheep,Rat,Prey,Sahara Square,6.1,2.7,8.1,2.1,5.0,Spotted,Large,133,Moderate
104,Tail Beaver,Wolf,Predator,Sahara Square,7.6,,7.6,4.9,0.8,Striped,Large,81,Moderate
105,Madge Cat,Hippo,Prey,Rainforest District,7.8,2.2,9.4,1.9,2.7,Golden,Medium,118,Moderate
106,Koslov Coyote,Hippo,Prey,Sahara Square,8.5,,5.7,0.1,8.8,Black,Medium,3,High
107,Bonnie Baboon,Hyena,Predator,Savanna Central,6.8,2.4,7.0,2.6,5.2,Grey,Large,60,Moderate
108,Duke Hippo,Hyena,Predator,Savanna Central,,,7.0,3.7,2.6,White,Extra Large,109,Moderate
109,Fuzzy Hare,Hedgehog,Prey,Rainforest District,9.3,3.8,5.7,4.8,0.4,,Medium,51,High
110,Fluffy Rat,Tiger,Predator,Savanna Central,7.3,3.9,7.5,1.7,3.6,,Small,124,Moderate
111,Lionheart Shrew,Rat,Prey,Tundratown,8.2,1.0,5.4,0.8,8.6,Spotted,Small,28,High
112,Bogo Hedgehog,Rat,Prey,Sahara Square,5.9,1.4,9.5,2.8,4.4,Grey,Medium,119,Low
113,Finnick Gorilla,Rat,Prey,Sahara Square,8.3,0.7,6.0,0.2,8.8,Golden,Large,32,High
114,FruFru Ocelot,Moose,Prey,Tundratown,5.9,0.4,,2.8,9.3,Striped,Medium,47,High
115,Doug Lion,Tiger,Predator,Downtown,6.0,1.5,7.5,4.1,4.9,Grey,Medium,136,Moderate
116,Officer Puma,Zebra,Prey,,9.4,3.7,5.3,1.6,4.0,Black,Large,83,High
117,Bellwether Wolf,Leopard,Predator,Rainforest District,9.0,3.0,5.9,1.3,4.8,Brown,Large,129,High
118,Manchas Ocelot,Rhino,Prey,,,1.5,7.3,4.5,2.6,Grey,Large,83,High
119,Manchas Tiger,Otter,Predator,Downtown,5.2,1.0,8.6,5.4,3.8,Spotted,Large,56,Low
120,Ranger Badger,Cheetah,Predator,Tundratown,5.5,1.8,7.7,1.5,7.5,Striped,Large,128,Low
121,Paws Badger,Polar Bear,Predator,Downtown,6.3,1.5,5.1,1.9,9.2,Orange,Small,47,High
122,Priscilla Puma,Zebra,Prey,Tundratown,5.6,3.6,8.0,4.1,2.7,Striped,Large,30,Low
123,Whiskers Hippo,Panther,Predator,Tundratown,8.9,2.0,5.4,3.2,4.5,White,Small,11,High
124,Judy Macaque,Otter,Predator,Sahara Square,7.2,0.5,,,7.7,Brown,Large,84,Moderate
126,Paws Gorilla,Elephant,Prey,,5.5,0.6,6.2,1.0,10.7,White,Large,106,Low
127,Jerry Hedgehog,Fox,Predator,Rainforest District,5.9,1.1,5.9,5.4,5.7,White,Medium,26,High
128,Sparky Moose,Leopard,Predator,Downtown,7.1,3.9,5.6,2.4,5.0,Spotted,Medium,92,High
130,Peter Sloth,Hamster,Prey,Savanna Central,,,7.9,1.2,3.1,Orange,Medium,46,High
131,Agent Hyena,Leopard,Predator,Tundratown,8.8,0.7,6.6,2.6,5.3,Grey,Large,76,High
132,FruFru Macaque,Sloth,Prey,Sahara Square,5.6,,6.4,3.5,6.1,White,Extra Large,64,Low
133,Chief Otter,Zebra,Prey,Meadowlands,5.8,1.9,7.7,0.3,8.3,Orange,Large,77,Low
134,Judy Tiger,Hippo,Prey,Meadowlands,5.3,4.0,6.6,4.9,3.2,Striped,Large,43,Low
135,Jerry Cougar,Panther,Predator,Tundratown,6.3,2.7,8.8,3.6,2.6,Spotted,Small,150,Moderate
136,Fuzzy Hopps,Pig,Prey,,6.7,3.7,9.2,4.2,0.2,Golden,Extra Large,71,Moderate
137,Gary Jackal,Wolf,Predator,Tundratown,5.6,2.9,9.7,1.1,4.7,White,Medium,110,Low
138,Fuzzy Puma,Wolf,Predator,Sahara Square,7.9,3.4,5.7,4.8,2.2,Brown,Medium,113,High
139,Finnick Cat,Hyena,Predator,Savanna Central,6.0,0.7,5.8,4.9,6.6,White,Extra Large,24,High
140,,Rabbit,Prey,Downtown,6.8,3.5,7.0,4.9,1.8,Spotted,Medium,72,Moderate
141,Tail Panther,Rat,Prey,Downtown,7.2,1.5,7.3,1.8,6.2,Brown,Small,125,Moderate
142,Sparky Puma,Gazelle,Prey,Downtown,6.2,3.6,6.9,3.3,4.0,Black,Small,23,Moderate
143,Tail Rabbit,Elephant,Prey,Sahara Square,9.5,2.5,5.6,5.6,0.8,Orange,Extra Large,52,High
144,Emmitt Jackal,Rhino,Prey,Savanna Central,5.7,3.2,8.1,3.2,3.8,Brown,Extra Large,117,Low
145,Doug Weasel,Sheep,Prey,Rainforest District,9.5,3.2,5.8,1.7,3.8,Golden,Large,74,High
146,Claws Bear,Giraffe,Prey,Sahara Square,5.2,2.3,8.8,5.3,2.4,,Large,50,Low
147,Paws Shrew,Sheep,Prey,Rainforest District,6.7,3.3,5.6,5.1,3.3,Grey,Extra Large,111,High
148,Judy Sloth,Yak,Prey,,9.0,0.6,6.1,4.3,4.0,Orange,Small,52,High
149,Bucky Lynx,Hamster,Prey,Savanna Central,8.6,2.6,8.5,2.3,2.0,Black,Large,53,High
150,Fluffy Wilde,Wolf,Predator,Meadowlands,5.9,,7.9,,4.2,Striped,Small,142,Low
151,Nick Puma,Panther,Predator,Downtown,7.3,3.8,5.8,3.5,3.6,White,Small,109,High
152,Yax Otter,Jaguar,Predator,Downtown,5.1,3.5,9.7,3.2,2.5,Golden,Large,136,Low
153,Koslov Rabbit,Moose,Prey,Rainforest District,8.5,3.7,8.5,0.5,2.8,,Small,4,High
154,Fabienne Bear,Wolf,Predator,Sahara Square,7.1,2.9,9.7,4.0,0.3,White,Medium,118,Moderate
155,Gareth Hyena,Sloth,Prey,Meadowlands,7.3,0.5,9.9,5.0,1.3,Spotted,Extra Large,9,Moderate
156,Clawhauser Hare,Sloth,Prey,Sahara Square,8.0,1.6,5.3,2.0,7.1,White,Medium,106,High
157,Gareth Rabbit,Mouse,Prey,,9.0,0.0,6.7,2.4,5.9,Grey,Small,19,High
158,Hooves Weasel,Rhino,Prey,Meadowlands,6.7,1.4,8.7,2.7,4.5,Orange,Medium,29,Moderate
159,Sparky Sloth,Leopard,Predator,Tundratown,6.1,1.8,5.7,1.1,9.3,Golden,Extra Large,114,High
160,Lionheart Hopps,Panther,Predator,Meadowlands,9.6,1.4,7.9,3.2,1.9,Orange,Medium,107,High
161,Swift Beaver,Yak,Prey,Tundratown,5.1,2.7,5.9,5.8,4.5,Black,Medium,126,High
162,Bellwether Dingo,Giraffe,Prey,Meadowlands,5.4,4.0,7.5,3.6,3.5,Brown,Large,45,Low
163,Paws Jackal,Hippo,Prey,Savanna Central,5.3,3.0,6.0,5.4,4.3,Brown,Medium,50,Low
164,Gideon Rhino,Moose,Prey,Downtown,5.2,1.9,,0.4,8.7,Black,Small,39,Low
165,Gideon Jaguar,Hamster,Prey,,8.9,1.8,7.6,2.5,3.2,Golden,Small,92,High
166,Ranger Armadillo,Tiger,Predator,Tundratown,5.8,0.7,9.3,5.7,2.5,White,Extra Large,90,Low
167,Whiskers Wilde,Giraffe,Prey,Rainforest District,6.9,1.1,8.2,2.5,5.3,Orange,Small,119,Moderate
168,Doug Ocelot,Panther,Predator,Meadowlands,5.1,0.9,6.2,4.0,7.8,Grey,Medium,125,Low
169,Jerry Cat,Sheep,Prey,Savanna Central,5.1,0.4,9.0,1.1,8.4,Golden,Small,57,Low
170,Paws Weasel,Rhino,Prey,,5.5,1.0,8.6,5.1,3.8,Brown,Extra Large,46,Low
171,Officer Dingo,Hedgehog,Prey,Downtown,9.2,1.6,8.3,1.0,3.9,Spotted,Small,114,High
172,Bonnie Badger,Lion,Predator,Downtown,5.1,,6.0,0.2,12.4,Grey,Large,27,Low
173,Claws Otter,Yak,Prey,Downtown,5.9,2.3,7.1,5.4,3.3,Grey,Large,22,Low
174,Stu Yak,Cheetah,Predator,Downtown,6.3,1.5,,1.6,6.6,Spotted,Large,66,Moderate
175,Fabienne Ocelot,Rhino,Prey,Tundratown,8.1,,7.8,2.6,3.9,White,Large,68,High
176,Madge Dog,Panther,Predator,Tundratown,8.8,0.6,9.3,2.6,2.7,Spotted,Large,35,High
177,Emmitt Puma,Hyena,Predator,Rainforest District,9.5,3.2,7.1,0.1,4.1,Brown,Small,58,High
178,Agent Raccoon,Tiger,Predator,Rainforest District,8.2,1.0,5.7,5.0,4.1,Spotted,Extra Large,51,High
179,Dash Moose,Tiger,Predator,,9.9,2.1,5.9,1.6,4.5,Grey,Large,30,High
180,Mayor Gorilla,Jaguar,Predator,Meadowlands,6.4,2.2,8.3,5.0,2.1,,Small,6,Moderate
181,Yax Opossum,Rat,Prey,Sahara Square,6.0,0.0,5.7,5.4,6.9,Black,Large,68,High
182,Priscilla Rhino,Otter,Predator,Tundratown,8.0,2.7,5.9,5.5,1.9,Golden,Small,140,High
183,Sharla Mouse,Leopard,Predator,Sahara Square,7.1,1.5,7.6,0.3,7.5,Brown,Large,134,Moderate
184,Bellwether Panther,Rhino,Prey,Rainforest District,5.4,,6.2,2.3,7.7,Orange,Medium,28,Low
185,Pronk Dog,Hyena,Predator,Rainforest District,6.4,1.4,8.6,1.8,5.8,Orange,Extra Large,24,Moderate
186,Nick Rabbit,Hedgehog,Prey,,8.3,3.7,8.7,0.7,2.6,Spotted,Extra Large,54,High
187,Whiskers Pig,Wolf,Predator,Sahara Square,5.2,1.0,8.0,0.3,9.5,Striped,Large,150,Low
188,Sharla Hedgehog,Weasel,Predator,Sahara Square,6.7,3.1,5.5,0.5,8.2,White,Small,64,High
189,Sparky Ocelot,Polar Bear,Predator,Meadowlands,8.6,,8.4,2.2,2.8,White,Small,147,High
190,Judy Puma,Moose,Prey,Sahara Square,9.0,2.8,6.4,3.4,2.4,Black,Small,69,High
191,Bellwether Beaver,Hippo,Prey,Rainforest District,6.8,0.4,9.6,0.8,6.4,Orange,Small,121,Moderate
192,Clawhauser Porcupine,Weasel,Predator,Meadowlands,5.9,2.2,9.4,4.4,2.1,Orange,Medium,11,Low
193,Sharla Hare,Panther,Predator,Savanna Central,9.0,2.6,,3.3,0.6,Spotted,Large,9,High
194,Bellwether Ocelot,Moose,Prey,Savanna Central,6.1,4.0,9.7,0.2,4.0,Orange,Extra Large,0,Moderate
195,Flash Cougar,Hyena,Predator,Downtown,8.5,3.7,5.9,3.4,2.5,Golden,Medium,90,High
196,Pronk Cheetah,Pig,Prey,Savanna Central,9.6,3.9,9.7,0.4,0.4,White,Medium,95,High
197,Snout Bear,Hippo,Prey,Meadowlands,9.3,,6.6,3.9,0.8,Spotted,Extra Large,19,High
198,,Wolf,Predator,Rainforest District,6.2,0.5,5.4,4.2,7.7,Striped,Extra Large,76,High
199,Gareth Leopard,Rhino,Prey,Savanna Central,6.7,2.9,5.3,1.9,7.2,Orange,Small,120,High
200,Kevin Beaver,Moose,Prey,Downtown,6.6,2.5,,3.4,2.1,Black,Medium,88,Moderate
201,Swift Squirrel,Tiger,Predator,Rainforest District,6.2,0.1,9.4,0.1,8.2,Spotted,Small,123,Moderate
202,Bonnie Lynx,Hamster,Prey,Tundratown,9.7,3.2,10.0,0.4,0.7,Golden,Extra Large,115,High
203,Snout Lynx,Hamster,Prey,Meadowlands,8.8,1.6,7.4,3.8,2.4,Spotted,Medium,62,High
204,Gideon Porcupine,Panther,Predator,Savanna Central,7.1,3.0,,0.7,7.0,Spotted,Small,24,Moderate
205,,Tiger,Predator,Downtown,6.8,1.1,6.5,1.4,8.2,Orange,Medium,38,Moderate
206,Gareth Opossum,Mouse,Prey,Savanna Central,6.9,,6.1,5.7,2.6,Spotted,Large,62,Moderate
207,Ranger Hare,Pig,Prey,Rainforest District,8.9,0.4,7.1,5.3,2.3,White,Extra Large,18,High
208,Frantic Badger,Gazelle,Prey,,8.1,0.7,10.0,1.2,4.0,Spotted,Medium,114,High
209,Larry Puma,Pig,Prey,,9.7,2.6,8.0,1.9,1.8,,Medium,82,High
210,Lionheart Rabbit,Jaguar,Predator,Rainforest District,6.1,,8.9,2.1,6.2,White,Extra Large,60,Moderate
211,Lionheart Macaque,Yak,Prey,Savanna Central,,3.9,9.4,5.0,0.4,Grey,Small,24,Low
212,Agent Rhino,Hamster,Prey,Meadowlands,8.5,0.6,9.1,1.3,4.5,Orange,Small,14,High
213,Koslov Wilde,Lion,Predator,Sahara Square,6.1,2.1,8.0,3.5,4.3,Spotted,Extra Large,93,Moderate
214,Officer Dog,Yak,Prey,Savanna Central,9.4,3.8,9.3,1.2,0.3,Orange,Medium,46,High
215,Frantic Dingo,Hedgehog,Prey,Sahara Square,8.3,2.2,5.4,2.5,5.6,Black,Extra Large,127,High
216,Ranger Panther,Fox,Predator,Savanna Central,8.6,2.0,5.4,1.3,6.7,Golden,Medium,90,High
217,Clawhauser Rat,Wolf,Predator,Savanna Central,8.4,0.3,9.3,3.0,3.0,Orange,Extra Large,90,High
218,Finnick Cheetah,Lion,Predator,Savanna Central,9.1,1.4,8.4,2.9,2.2,Orange,Large,67,High
219,Clawhauser Baboon,Moose,Prey,Savanna Central,,3.5,9.0,3.4,1.8,Orange,Extra Large,1,Moderate
220,Madge Gorilla,Giraffe,Prey,Meadowlands,8.5,2.7,8.1,3.5,1.2,Golden,Small,9,High
221,Pronk Chipmunk,Hamster,Prey,Tundratown,5.8,3.5,9.4,0.2,5.1,Spotted,Extra Large,62,Low
222,Finnick Macaque,Weasel,Predator,Downtown,6.7,3.0,5.8,4.9,3.6,,Large,90,High
223,Priscilla Pig,Moose,Prey,Downtown,9.2,2.0,5.0,1.7,6.1,Golden,Medium,65,High
224,Larry Dog,Polar Bear,Predator,Savanna Central,8.2,1.0,8.2,3.2,3.4,Orange,Large,13,High
225,Whiskers Porcupine,Giraffe,Prey,Downtown,8.9,0.4,8.8,3.2,2.7,Spotted,Large,85,High
226,Sparky Lion,Hamster,Prey,Sahara Square,8.2,3.7,5.5,5.6,1.0,White,Large,57,High
227,Mayor Hare,Sheep,Prey,Meadowlands,8.4,0.3,6.5,4.2,4.6,Golden,Large,69,High
228,Duke Leopard,Pig,Prey,Downtown,6.7,2.5,5.2,5.2,4.4,White,Large,12,High
229,Sparky Chipmunk,Moose,Prey,Rainforest District,9.9,3.9,8.7,,1.3,White,Medium,10,High
230,Larry Wilde,Fox,Predator,Sahara Square,8.4,1.8,6.4,6.0,1.4,Spotted,Small,82,High
231,Snout Hopps,Elephant,Prey,Savanna Central,7.1,1.8,5.8,4.8,4.5,Spotted,Large,27,High
232,Chief Raccoon,Moose,Prey,Downtown,5.4,2.7,8.3,1.6,6.0,Spotted,Medium,26,Low
233,Priscilla Yak,Hippo,Prey,,9.8,0.6,7.2,5.7,0.7,Brown,Medium,43,High
234,Gazelle Otter,Hyena,Predator,Downtown,7.0,1.1,9.9,2.5,3.5,Spotted,Medium,140,Moderate
235,Mayor Rhino,Moose,Prey,Savanna Central,9.5,0.9,6.1,0.2,7.3,White,Large,140,High
236,Whiskers Sheep,Hyena,Predator,Tundratown,9.3,1.9,9.8,0.6,2.4,Orange,Large,72,High
237,Finnick Wilde,Elephant,Prey,,9.3,,8.9,2.3,0.4,Black,Small,143,High
238,Clawhauser Bunny,Otter,Predator,,5.7,0.1,9.6,3.7,4.9,White,Medium,149,Low
239,Claws Elephant,Zebra,Prey,Rainforest District,9.0,1.9,5.6,0.8,6.7,Orange,Medium,69,High
240,Nick Wolf,Zebra,Prey,Sahara Square,6.0,2.0,5.3,3.5,7.2,Brown,Small,6,High
241,Lionheart Coyote,Mouse,Prey,Tundratown,6.3,3.2,6.6,2.7,5.2,Orange,Medium,98,Moderate
242,Gareth Pig,Rabbit,Prey,Sahara Square,8.0,1.2,8.5,5.2,1.1,Brown,Large,125,Moderate
243,Doug Jackal,Hyena,Predator,Downtown,8.9,0.2,7.4,0.6,6.9,Black,Medium,136,High
244,Frantic Elephant,Sloth,Prey,Tundratown,8.1,2.8,7.8,0.1,5.2,Spotted,Small,34,High
245,Swift Chipmunk,Wolf,Predator,Savanna Central,6.6,2.1,5.4,,7.8,Grey,Extra Large,127,High
246,Swift Rat,Rat,Prey,Sahara Square,7.8,2.8,9.0,0.9,3.5,Brown,Extra Large,144,Moderate
